scorer,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290,DLC_Resnet50_Fear Conditioning With Implant 9 CamMay16shuffle1_snapshot_290
8,1046.6766,500.1654,1.0,1055.7064,479.45724,1.0,1029.0093,485.7909,0.9716924,1066.2833,498.64246,0.03982129,1062.2122,443.2382,1.0,1022.3887,451.7744,0.8857114,1041.4989,438.12634,0.97005457,1038.588,408.80362,0.94310445,1050.594,379.8331,0.96656346,1058.9617,362.78918,0.35014015,1052.4557,327.57245,0.90834,1044.2502,283.49182,0.8769385,1054.8188,232.6844,0.95749474
9,1049.066,495.55847,1.0,1058.7352,472.94327,1.0,1031.5452,481.31866,0.97987354,1065.4415,504.84442,0.49016535,1063.7274,446.25327,0.9330039,1023.418,454.9904,0.8504144,1042.3695,442.80225,0.9195142,1039.0266,411.64905,0.934092,1051.3606,382.02396,0.9515551,1059.4816,364.83545,0.40647987,1052.0476,331.06308,0.89289826,1041.6271,283.70065,0.90212935,1049.3346,235.27689,0.9626971
10,1043.7546,500.15546,1.0,1055.4762,478.71677,1.0,1027.1805,485.37393,1.0,1067.7203,511.56848,0.9039093,1065.045,450.20346,0.9481655,1025.2915,462.33975,0.913049,1041.1897,448.95755,0.8895122,1036.8563,416.3144,0.9045992,1050.0206,383.70074,0.9213306,1060.5193,367.3429,0.33092374,1055.3312,335.5719,0.8911214,1044.1696,290.13858,0.7648627,1050.7317,239.00533,0.95583636
11,1054.0703,505.82922,1.0,1064.4324,484.03473,1.0,1038.8972,491.4229,1.0,1077.4292,517.3405,0.8915283,1066.7659,455.82794,0.96106994,1029.035,468.96326,0.9508586,1044.6564,453.4406,1.0,1039.0251,420.70532,0.9433182,1049.877,387.26892,0.9237119,1061.396,370.31888,0.29898235,1055.7898,336.9728,0.904597,1043.5712,291.37656,0.7646366,1049.2849,240.05887,0.9044512
12,1062.4818,509.58997,1.0,1068.1332,485.11868,1.0,1043.8739,496.51813,1.0,1080.3788,517.88855,0.9025356,1070.9644,457.78757,0.99459815,1032.2605,472.55533,0.8108685,1046.9631,455.85757,0.9862278,1041.9926,422.12848,0.9612509,1050.8853,388.68988,0.9455973,1059.692,371.4603,0.3179808,1055.1163,338.24246,0.91102636,1041.5405,291.55212,0.67502344,1047.165,240.24486,0.82230765
13,1056.5327,507.38263,1.0,1067.046,485.68964,1.0,1037.2832,495.85376,1.0,1079.8887,517.8642,0.9523232,1072.3894,457.1847,0.96255386,1033.1686,471.56015,0.8551302,1048.0061,456.01447,0.9549651,1040.6855,423.409,0.9758227,1049.0557,389.45248,0.91852117,1060.2349,371.55945,0.45004034,1053.833,337.2186,0.94613224,1041.5396,292.52066,0.75335014,1047.6674,240.91287,0.82697076
14,1051.6813,492.31085,1.0,1061.4723,470.754,1.0,1036.2339,479.6308,1.0,1077.8615,518.7272,1.0,1072.2909,455.4367,0.91382563,1029.7721,468.831,0.8701725,1047.0123,453.14755,0.87697405,1040.9307,421.46985,0.99059206,1050.2631,388.87143,0.91893405,1060.7716,372.48547,0.3540185,1054.7585,338.55502,0.94160193,1041.8076,293.2342,0.7007211,1047.3746,241.65356,0.8350238
15,1047.1512,488.7482,1.0,1057.7458,466.9695,1.0,1031.0588,474.90536,1.0,1077.9426,517.22614,1.0,1072.9492,454.46494,0.87552077,1027.072,467.328,0.825917,1045.3746,452.9691,0.7623458,1041.3953,421.12387,0.973391,1049.9512,389.86255,0.93311554,1059.3234,371.77615,0.44761023,1054.5265,337.41443,0.9369354,1042.4025,291.57986,0.7307308,1046.3506,240.65239,0.82390594
16,1040.8505,473.28714,1.0,1052.1711,452.65915,1.0,1023.6367,464.8276,1.0,1077.5826,517.2917,1.0,1073.5024,451.4923,0.950807,1019.8621,469.03192,0.3879265,1046.5834,449.66208,0.39822182,1039.8057,423.14407,1.0,1046.101,390.6611,0.88669944,1059.6783,372.12973,0.5162654,1054.7368,337.02365,0.947613,1042.6512,290.8155,0.71708745,1046.2933,240.51778,0.81853163
17,1034.1807,463.6252,1.0,1045.0431,444.04208,1.0,1019.12384,457.37338,1.0,1076.4744,516.7239,1.0,1071.8499,450.17474,0.941322,1028.7439,482.48883,0.5166496,1053.1875,447.53525,0.29308066,1040.7848,421.4241,0.9674331,1046.5957,389.2322,0.95043075,1060.1233,371.94543,0.43688607,1055.4164,337.4269,0.9322608,1043.022,291.2568,0.7144054,1046.0249,240.58801,0.83312666
18,1029.42,449.4835,1.0,1041.7147,434.51962,1.0,1015.9161,444.36377,0.9543497,1075.9689,516.01807,1.0,1073.2021,448.73828,0.9215576,1030.6716,476.8319,0.598469,1052.1998,449.72513,0.2631114,1042.3464,416.17886,0.6892369,1046.8553,387.34793,0.941338,1059.2487,372.15997,0.38824522,1055.1715,337.64398,0.949998,1042.8403,291.291,0.73121583,1046.2316,240.38803,0.8401708
19,1021.78357,435.814,1.0,1040.061,425.0101,1.0,1010.9562,429.81335,0.89982384,1073.7346,514.9222,0.97466063,1074.1191,448.7194,0.95502025,1023.6568,467.73514,0.586303,1049.3429,444.6058,0.279961,1046.2506,413.6747,0.56908506,1051.5518,386.8182,0.88952786,1060.7466,370.3709,0.33695003,1055.1421,337.7509,0.9537759,1042.8325,291.38712,0.71840376,1046.0471,240.44804,0.8398463
20,1015.5712,426.35516,1.0,1035.6395,417.68314,1.0,1007.4878,421.8745,0.8209511,1071.3208,514.0217,0.9159008,1073.2416,447.06964,1.0,1026.7246,469.15152,0.5268081,1049.6333,444.07953,0.3658304,1046.6606,414.86887,0.6702207,1053.857,386.21198,0.8630859,1061.4031,370.40878,0.32442674,1055.9711,338.1511,0.9256547,1043.1797,292.3649,0.7210405,1045.5544,240.09116,0.8413422
21,1013.90594,418.0225,1.0,1032.481,407.74863,1.0,1006.5887,411.1083,0.7858891,1070.7249,512.2983,0.84968984,1073.4318,445.03464,1.0,1025.4447,465.19244,0.69716406,1048.8822,443.3012,0.4812261,1048.2742,413.90088,0.7284419,1054.8184,386.0512,0.88887006,1061.1589,370.13885,0.3081921,1055.729,338.15738,0.9391854,1042.992,292.7423,0.722387,1045.0326,239.80428,0.8580141
22,1015.5166,423.04263,1.0,1034.7548,413.59225,1.0,1007.45715,418.6373,0.8404909,1072.1078,512.2424,0.85670847,1073.879,445.059,1.0,1025.9874,466.63934,0.6051363,1048.8678,443.55505,0.3191192,1046.3728,413.51736,0.6719537,1053.3734,386.21762,0.8756581,1061.0726,370.139,0.32927302,1056.1425,337.9119,0.9187897,1043.338,292.3586,0.7150237,1044.8868,239.85442,0.8504804
23,1017.0898,424.21933,1.0,1037.9092,416.05023,1.0,1009.59357,419.52267,0.84020185,1073.6697,512.2868,0.91513795,1073.6284,445.68222,1.0,1023.45056,463.9395,0.57946676,1051.5269,441.53802,0.36986232,1047.3203,412.86935,0.665051,1053.8778,386.52094,0.87798786,1060.5052,370.09293,0.35690415,1055.3613,337.54343,0.95466214,1042.6924,291.83307,0.7092423,1044.8676,239.80324,0.84150296
24,1016.4024,426.47073,1.0,1036.3713,416.94543,1.0,1008.3073,420.85678,0.8353075,1073.3309,512.24176,0.900473,1073.0215,445.23047,1.0,1023.5735,466.04852,0.50499886,1050.3959,442.28717,0.3690968,1047.1555,412.81763,0.6379018,1053.4757,385.8478,0.8546325,1060.4547,370.03558,0.31795934,1055.6866,338.0425,0.92880714,1042.8837,292.4252,0.6895872,1044.5747,239.76164,0.85601854
25,1015.9605,426.64758,1.0,1036.8585,417.06378,1.0,1008.2496,422.44724,0.82413864,1073.5272,512.27075,0.9211838,1072.8896,444.9483,1.0,1023.6337,465.42084,0.47802988,1050.7825,441.38513,0.3647954,1046.7388,412.4709,0.63858384,1054.0856,386.28995,0.8481451,1061.8097,370.25455,0.37297702,1055.9376,338.0647,0.93475485,1042.9844,292.48758,0.6694258,1044.5485,239.7058,0.859489
26,1017.2106,422.7881,1.0,1037.58,414.1289,1.0,1008.96814,420.26578,0.82077044,1073.8134,511.24615,0.91123974,1073.2037,444.35114,1.0,1023.7338,463.10608,0.5742802,1050.9905,440.27908,0.35387748,1047.1776,412.02832,0.6570273,1054.2906,385.66193,0.8729276,1061.6101,370.322,0.33864507,1055.5267,337.45325,0.9503149,1042.317,292.02832,0.72042686,1044.6638,239.62851,0.8471515
27,1016.8893,420.7209,1.0,1036.0352,410.6066,1.0,1008.33545,418.91162,0.8369789,1073.9546,510.24747,0.9504539,1073.1177,442.9646,1.0,1024.9727,464.34,0.63413703,1050.173,440.38574,0.3604607,1046.4568,411.83542,0.68648463,1053.828,384.98557,0.8691355,1061.037,369.86368,0.31955853,1055.3668,337.1608,0.9732267,1042.6898,291.54013,0.6918436,1044.586,239.486,0.8519099
28,1011.51025,413.73474,1.0,1031.2412,405.63312,1.0,1004.7285,410.2724,0.80721563,1074.1077,505.75894,0.88879377,1073.4923,439.0647,0.9692738,1025.5732,462.22437,0.6783295,1047.4622,433.4011,0.4189902,1048.3219,412.8264,0.75261176,1054.9863,384.43417,0.8842264,1061.9108,371.35825,0.3220854,1055.7899,337.32416,0.96114933,1042.8394,292.05585,0.7105289,1044.4398,239.48485,0.8506965
29,1007.7339,403.6365,1.0,1027.1864,400.2257,1.0,999.4527,408.57233,0.915117,1073.1067,505.21524,0.90711224,1072.0386,438.6304,0.96940905,1025.3335,463.7792,0.70587957,1050.7152,443.67133,0.36068362,1047.8971,413.26398,0.86071324,1055.469,381.9612,0.8842748,1058.3295,371.74017,0.21160874,1056.4198,338.7919,0.90591764,1042.9917,292.63513,0.7138562,1043.9636,238.96248,0.8902825
30,1006.0087,407.73752,1.0,1025.1978,402.99777,1.0,997.2126,411.5728,0.89463174,1072.4202,504.86945,0.92654973,1071.3947,438.7992,1.0,1025.9851,464.8249,0.7762263,1047.5265,439.40454,0.3815235,1044.8563,411.83118,0.85011405,1055.4437,382.70132,0.8528378,1058.1381,372.02448,0.22434081,1056.6384,338.0955,0.9156639,1042.7322,292.2344,0.74421513,1044.0061,239.15666,0.8870186
31,1008.019,413.61636,1.0,1028.0897,406.4354,1.0,1000.4319,412.5681,0.74237466,1074.6045,504.95312,0.90655494,1071.7355,439.4722,0.98715067,1025.6599,463.93723,0.7123554,1045.8367,435.25397,0.38106117,1044.4104,411.49646,0.7556128,1054.2699,383.6044,0.8436048,1060.9939,370.4486,0.27745712,1055.5902,337.10352,0.95972174,1042.5745,290.97586,0.73458093,1044.0267,239.26035,0.8771657
32,1009.6766,412.0685,1.0,1030.215,404.08786,1.0,1003.2567,408.4515,0.8076865,1073.6019,505.0386,0.88433176,1072.75,439.12738,0.97594357,1025.3223,462.12527,0.68341357,1046.5912,433.89883,0.4138934,1046.2002,412.05515,0.76177746,1054.924,384.2852,0.87024766,1062.1852,371.7718,0.33014017,1055.8151,337.18814,0.948767,1042.5516,292.41068,0.7222301,1044.0874,239.30225,0.8738524
33,1010.3049,413.13593,1.0,1030.8802,404.94388,1.0,1004.4317,408.00015,0.82409155,1073.3997,505.1073,0.8727703,1073.181,439.108,0.9625025,1025.807,462.13605,0.64553076,1046.6471,432.78918,0.41843593,1048.3378,412.44745,0.7503592,1054.8738,384.80618,0.86524314,1061.332,371.33133,0.31523547,1055.8828,336.977,0.95337677,1042.72,291.98724,0.71848583,1043.851,238.97214,0.873944
34,1011.2959,411.03687,1.0,1032.1461,403.31345,1.0,1004.9861,406.68616,0.85836947,1074.4899,504.75867,0.8908742,1073.642,438.5598,0.97347397,1025.3257,461.0793,0.6840271,1046.5593,432.4154,0.3459015,1047.3195,411.9665,0.77701724,1054.7437,383.66025,0.8395436,1061.4001,369.83737,0.24737445,1055.6296,337.66406,0.9510286,1042.921,291.94696,0.72862345,1043.8114,238.75987,0.8851275
35,1013.21796,413.94437,1.0,1032.303,405.8051,1.0,1006.15106,409.07697,0.8398254,1074.4758,505.32138,0.8914609,1073.3975,439.2737,0.9595298,1025.6672,461.92883,0.6937174,1046.8982,432.30023,0.39041084,1046.6202,411.84583,0.75050384,1054.3258,384.2438,0.854952,1061.3909,369.89294,0.27486664,1055.7261,337.3198,0.95194256,1042.6094,291.363,0.73000246,1043.8228,238.77397,0.89348435
36,1014.7061,416.4158,1.0,1032.6235,405.83136,1.0,1006.6881,410.61343,0.8457728,1074.7559,505.7623,0.94362396,1073.5874,438.94043,0.9457166,1025.2732,461.3189,0.64007765,1048.7454,440.24384,0.3490028,1047.9865,412.821,0.70561,1054.1907,385.02588,0.86378455,1060.3259,370.14722,0.34711632,1055.8279,337.26718,0.9512303,1042.8911,292.1442,0.7201184,1043.9532,239.03233,0.86063105
37,1015.3709,415.01492,1.0,1034.0135,405.15237,1.0,1007.97473,408.72852,0.9428085,1074.2205,505.36395,0.909044,1072.4365,439.6161,0.9686157,1024.9944,461.486,0.6045617,1049.5806,439.23776,0.3572692,1048.1433,411.2974,0.73015475,1054.3923,384.07986,0.8277728,1061.023,369.54053,0.27050376,1055.7676,337.8849,0.95100623,1042.8339,292.30786,0.71390945,1043.6815,238.63708,0.8682025
38,1015.57855,417.93228,1.0,1034.0314,407.07794,1.0,1007.73444,411.3953,0.821132,1074.068,506.44275,0.9401321,1073.9434,439.57996,0.96897525,1025.0492,461.7054,0.6140784,1049.0333,439.80927,0.34543592,1047.1394,411.66937,0.70024294,1054.0299,384.1485,0.84339875,1061.129,369.94086,0.2689942,1055.735,338.1319,0.94825363,1042.8773,292.74915,0.6860974,1043.6536,238.78607,0.8721033
39,1016.02026,418.7643,1.0,1034.8665,407.95972,1.0,1008.0167,411.92706,0.8014858,1073.8545,506.83264,0.946001,1073.9204,439.64648,0.9659229,1024.1709,461.35544,0.637459,1048.8145,438.49503,0.31069097,1046.6622,411.59006,0.7009009,1055.258,385.70276,0.8618863,1062.4624,370.01343,0.30043563,1056.0801,338.13275,0.93742955,1042.8204,292.60602,0.7201671,1043.5883,238.6162,0.88500607
40,1016.296,418.9565,1.0,1035.1611,408.24405,1.0,1008.0586,412.1627,0.7872537,1073.5474,507.01852,0.93760544,1073.9791,439.61224,0.9713667,1024.446,461.45093,0.6524406,1048.8527,440.14066,0.29774532,1046.6007,411.59732,0.70429873,1054.983,385.4641,0.85213107,1062.3961,370.13354,0.27458918,1055.9756,337.9179,0.94092697,1042.5236,292.115,0.7360608,1043.7667,238.37471,0.90611213
41,1017.3897,421.30472,1.0,1034.8229,411.13138,1.0,1007.44855,417.9277,0.83516186,1073.4828,508.12338,0.95717454,1073.479,440.0508,1.0,1024.087,462.66373,0.5635162,1048.8696,439.386,0.34301257,1045.5458,411.3007,0.68119127,1053.002,385.00775,0.8504334,1061.3209,369.5253,0.33442035,1056.0038,337.1951,0.9392586,1042.5536,291.6145,0.725571,1043.5079,238.51967,0.89751935
42,1017.54865,422.21747,1.0,1035.1599,411.16595,1.0,1007.5947,419.67297,0.8345479,1073.1941,508.54224,0.95812935,1073.6498,440.46884,1.0,1024.3732,463.2064,0.5816102,1049.1766,439.047,0.36015543,1045.6761,410.44806,0.6953446,1052.8967,384.14832,0.8391326,1062.222,369.93948,0.31343183,1056.2826,337.59668,0.9320056,1042.474,292.32364,0.7290031,1043.3926,238.58804,0.88828754
43,1016.21875,423.5247,1.0,1036.1932,413.82916,1.0,1007.9732,421.04926,0.8375408,1073.7299,509.23404,0.95480144,1073.6276,440.77713,0.997605,1025.0559,464.54666,0.54197735,1049.8839,438.9884,0.36606017,1046.0267,411.26562,0.6853635,1052.9778,385.09274,0.8428564,1062.5094,370.4538,0.35143915,1055.9368,337.3722,0.9393273,1042.479,292.02426,0.73241246,1043.6033,238.6805,0.8966933
44,1017.42114,424.59897,1.0,1037.2839,415.22144,1.0,1009.0875,420.54065,0.86661464,1073.5668,508.9203,0.9636079,1073.7878,440.73996,1.0,1023.40216,461.60156,0.6737026,1050.0983,438.27002,0.363,1046.1438,410.69754,0.6953899,1053.7465,384.28143,0.8395729,1062.3336,370.4783,0.31516534,1056.2686,338.2155,0.9254511,1042.8667,292.42178,0.7307868,1043.4731,238.27812,0.90237725
45,1017.601,426.48468,1.0,1037.4362,416.31613,1.0,1009.0405,421.97552,0.8745089,1073.6644,509.3335,0.9517194,1073.189,441.82434,0.99465686,1023.57654,462.69897,0.6349789,1049.9972,438.79077,0.3697507,1045.892,410.82004,0.6799054,1052.7983,384.70322,0.82921857,1062.161,370.35547,0.32764107,1055.9701,338.27817,0.9360413,1042.6555,292.68057,0.7056498,1043.7262,238.45567,0.88818896
46,1019.39325,431.6181,1.0,1037.7391,419.28586,1.0,1008.64655,427.55344,0.9203488,1073.2242,510.2504,0.95077056,1073.2821,442.2204,0.99615824,1022.9215,463.72092,0.5559644,1050.03,440.37482,0.36245328,1044.1914,411.96936,0.6889851,1051.9952,385.54135,0.8431414,1061.4226,369.62958,0.37597784,1055.9899,336.91412,0.9434005,1042.493,290.8135,0.7276326,1043.2136,238.7186,0.89701056
47,1020.3599,433.14557,1.0,1037.9866,420.5178,1.0,1010.92664,428.73584,0.9263781,1073.3112,510.44138,0.9567983,1073.739,442.5676,0.9876829,1023.2884,465.8878,0.54342395,1050.6562,440.45657,0.26948333,1045.5093,410.66586,0.6482856,1051.6271,384.91046,0.7995946,1062.191,370.2307,0.3224353,1056.4336,338.5178,0.90742445,1042.8795,293.4344,0.69688654,1043.1233,238.66995,0.8796066
